time,h,der(h),v,der(v),g,e
8.1,-0.000122806,0.178218,0.178218,-9.81,9.81,0.7
8.2,9.7964e-05,-0.271903,-0.271903,-9.81,9.81,0.7
8.3,0.00218261,-0.0635813,-0.0635813,-9.81,9.81,0.7
8.4,0.00275104,-0.0782428,-0.0782428,-9.81,9.81,0.7
8.5,0.000687298,0.131374,0.131374,-9.81,9.81,0.7
8.6,0.000205408,-0.239112,-0.239112,-9.81,9.81,0.7
8.7,0.00104535,-0.214284,-0.214284,-9.81,9.81,0.7
8.8,0.00213319,-0.0353481,-0.0353481,-9.81,9.81,0.7
8.9,0.00251288,-0.0143775,-0.0143775,-9.81,9.81,0.7
9,-4.30875e-06,0.162668,0.162668,-9.81,9.81,0.7
9.1,-1.67887e-05,0.182712,0.182712,-9.81,9.81,0.7
9.2,0.000271396,-0.275049,-0.275049,-9.81,9.81,0.7
9.3,0.00241047,-0.0651228,-0.0651228,-9.81,9.81,0.7
9.4,0.000253569,0.137803,0.137803,-9.81,9.81,0.7
9.5,0.00116656,0.120497,0.120497,-9.81,9.81,0.7
9.6,0.000521518,-0.231498,-0.231498,-9.81,9.81,0.7
9.7,0.00132035,-0.210553,-0.210553,-9.81,9.81,0.7
9.8,0.00234365,-0.03352,-0.03352,-9.81,9.81,0.7
9.9,-3.76312e-05,0.153288,0.153288,-9.81,9.81,0.7
10,-0.000190808,0.178116,0.178116,-9.81,9.81,0.7
10.1,2.84349e-05,-0.271831,-0.271831,-9.81,9.81,0.7
10.2,0.00211185,-0.0635464,-0.0635464,-9.81,9.81,0.7
10.3,0.00268027,-0.0782257,-0.0782257,-9.81,9.81,0.7
10.4,0.000616404,0.131382,0.131382,-9.81,9.81,0.7
10.5,0.00146583,0.117351,0.117351,-9.81,9.81,0.7
10.6,0.0007736,-0.229296,-0.229296,-9.81,9.81,0.7
10.7,0.00212115,-0.042704,-0.042704,-9.81,9.81,0.7
10.8,0.00246553,-0.017982,-0.017982,-9.81,9.81,0.7
10.9,-2.60671e-05,0.160902,0.160902,-9.81,9.81,0.7
11,-6.50396e-05,0.181847,0.181847,-9.81,9.81,0.7
11.1,0.000210164,-0.274443,-0.274443,-9.81,9.81,0.7
11.2,0.00233875,-0.064826,-0.064826,-9.81,9.81,0.7
11.3,0.000179749,0.137948,0.137948,-9.81,9.81,0.7
11.4,0.00109418,0.120569,0.120569,-9.81,9.81,0.7
11.5,0.000450207,-0.231548,-0.231548,-9.81,9.81,0.7
11.6,0.00124931,-0.210578,-0.210578,-9.81,9.81,0.7
11.7,0.00227303,-0.033532,-0.033532,-9.81,9.81,0.7
11.8,0.00266143,-0.0134877,-0.0134877,-9.81,9.81,0.7
11.9,0.000137927,0.163104,0.163104,-9.81,9.81,0.7
12,0.000131988,-0.261323,-0.261323,-9.81,9.81,0.7
12.1,0.0020336,-0.0583972,-0.0583972,-9.81,9.81,0.7
12.2,0.00260048,-0.0757026,-0.0757026,-9.81,9.81,0.7
12.3,0.0005187,0.132619,0.132619,-9.81,9.81,0.7
12.4,0.00138037,0.117957,0.117957,-9.81,9.81,0.7
12.5,0.000697223,-0.22972,-0.22972,-9.81,9.81,0.7
12.6,0.00205211,-0.0429118,-0.0429118,-9.81,9.81,0.7
12.7,0.00239549,-0.0180838,-0.0180838,-9.81,9.81,0.7
12.8,-9.53824e-05,0.160852,0.160852,-9.81,9.81,0.7
12.9,-0.000135103,0.181822,0.181822,-9.81,9.81,0.7
13,0.000139734,-0.274426,-0.274426,-9.81,9.81,0.7
13.1,0.00226803,-0.0648176,-0.0648176,-9.81,9.81,0.7
13.2,0.00283683,-0.0788486,-0.0788486,-9.81,9.81,0.7
13.3,0.000777389,0.131077,0.131077,-9.81,9.81,0.7
13.4,0.000291047,-0.238904,-0.238904,-9.81,9.81,0.7
13.5,0.00112987,-0.214182,-0.214182,-9.81,9.81,0.7
13.6,0.00221595,-0.0352982,-0.0352982,-9.81,9.81,0.7
13.7,0.00259588,-0.0143531,-0.0143531,-9.81,9.81,0.7
13.8,7.85122e-05,0.16268,0.16268,-9.81,9.81,0.7
13.9,6.62119e-05,-0.261026,-0.261026,-9.81,9.81,0.7
14,0.00196269,-0.0582517,-0.0582517,-9.81,9.81,0.7
14.1,0.00252953,-0.0756313,-0.0756313,-9.81,9.81,0.7
14.2,0.00044724,0.132654,0.132654,-9.81,9.81,0.7
14.3,0.00130925,0.117974,0.117974,-9.81,9.81,0.7
14.4,0.000626365,-0.229732,-0.229732,-9.81,9.81,0.7
14.5,0.00141566,-0.209688,-0.209688,-9.81,9.81,0.7
14.6,0.00242398,-0.033096,-0.033096,-9.81,9.81,0.7
14.7,3.96958e-05,0.153496,0.153496,-9.81,9.81,0.7
14.8,-0.000110365,0.178218,0.178218,-9.81,9.81,0.7
14.9,0.000110406,-0.271903,-0.271903,-9.81,9.81,0.7
15,0.00219505,-0.0635813,-0.0635813,-9.81,9.81,0.7
15.1,0.00276349,-0.0782428,-0.0782428,-9.81,9.81,0.7
15.2,0.00069974,0.131374,0.131374,-9.81,9.81,0.7
15.3,0.00021785,-0.239112,-0.239112,-9.81,9.81,0.7
15.4,0.00105779,-0.214284,-0.214284,-9.81,9.81,0.7
15.5,0.00214563,-0.0353481,-0.0353481,-9.81,9.81,0.7
15.6,0.00252532,-0.0143775,-0.0143775,-9.81,9.81,0.7
15.7,8.13313e-06,0.162668,0.162668,-9.81,9.81,0.7
15.8,-4.34684e-06,0.182712,0.182712,-9.81,9.81,0.7
15.9,0.000283838,-0.275049,-0.275049,-9.81,9.81,0.7
16,0.00242291,-0.0651228,-0.0651228,-9.81,9.81,0.7
16.1,0.000266011,0.137803,0.137803,-9.81,9.81,0.7
16.2,0.001179,0.120497,0.120497,-9.81,9.81,0.7
16.3,0.00053396,-0.231498,-0.231498,-9.81,9.81,0.7
16.4,0.00133279,-0.210553,-0.210553,-9.81,9.81,0.7
16.5,0.00235609,-0.03352,-0.03352,-9.81,9.81,0.7
16.6,-2.51893e-05,0.153288,0.153288,-9.81,9.81,0.7
16.7,-0.000178366,0.178116,0.178116,-9.81,9.81,0.7
